HUC_12,waterid,Year,observed_load_kg_yr,predicted_load_kg_yr,observed_yield_kg_km2_yr,predicted_yield_kg_km2_yr,demiarea,demtarea
70200051102,7020005110201,2001,1267891.0635825554,917118.25,71853.86772270298,51974.88594593761,17.645411496505314,4851.093673073071
70200051102,7020005110202,2002,429638.6637053725,769601.3,24348.463836644598,43614.81171195243,17.645411496505314,4851.093673073071
70200051102,7020005110203,2003,294086.8602162919,577968.8,16666.477870155424,32754.622929279216,17.645411496505314,4851.093673073071
70200051102,7020005110204,2004,701240.4592111403,803352.6,39740.66908839283,45527.563931229626,17.645411496505314,4851.093673073071
70200051102,7020005110205,2005,1988696.546887536,1150931.2,112703.32501349706,65225.523373481126,17.645411496505314,4851.093673073071
70200051102,7020005110206,2006,1436394.5510474695,501580.34,81403.29010360276,28425.539415691062,17.645411496505314,4851.093673073071
70200051102,7020005110207,2007,557800.790527322,732960.94,31611.66236547075,41538.33080884304,17.645411496505314,4851.093673073071
70200051102,7020005110208,2008,636803.9226338092,760695.56,36088.92446401313,43110.1059984153,17.645411496505314,4851.093673073071
70200051102,7020005110209,2009,941622.1549516463,672304.6,53363.57019149909,38100.817322007504,17.645411496505314,4851.093673073071
70200051102,7020005110210,2010,1873397.96006062,1234525.6,106169.1284689874,69962.98160824976,17.645411496505314,4851.093673073071
70200051102,7020005110211,2011,3387280.639188698,1118682.6,191963.82242825854,63397.93210385351,17.645411496505314,4851.093673073071
70200051102,7020005110212,2012,553490.2872044502,413752.16,31367.377706893905,23448.144583193418,17.645411496505314,4851.093673073071
70200051102,7020005110213,2013,728946.9804192244,1045237.75,41310.85186444038,59235.668729347,17.645411496505314,4851.093673073071
70200051102,7020005110214,2014,1759983.7971855646,1920283.6,99741.72591747892,108826.22943535852,17.645411496505314,4851.093673073071
70200051102,7020005110215,2015,1127684.9676849712,677993.3,63908.113897389696,38423.20708328491,17.645411496505314,4851.093673073071
70200051102,7020005110216,2016,2273000.4682677262,969672.06,128815.38459547376,54953.2132017462,17.645411496505314,4851.093673073071
70200051102,7020005110217,2017,3083449.0942051467,1169698.2,174745.09420286547,66289.08598882261,17.645411496505314,4851.093673073071
70200051102,7020005110218,2018,2164982.866987152,1441212.1,122693.81575011318,81676.31003025535,17.645411496505314,4851.093673073071
70200051102,7020005110219,2019,4462948.353988715,2595421.5,252924.01681154364,147087.61541288084,17.645411496505314,4851.093673073071
70200051102,7020005110220,2020,1144952.836493818,1011198.4,64886.7178144628,57306.592152881705,17.645411496505314,4851.093673073071
70101060806,7010106080601,2001,343738.577526994,109871.305,13486.643733211433,4310.820035675645,25.487332825477043,2365.5681484474185
70200060704,7020006070401,2001,2320552.863532076,1244628.8,32601.28744380863,17485.70433680264,71.17979213341701,1619.4307231637365
70101060806,7010106080602,2002,192720.0376593668,129575.29,7561.404678120127,5083.909363418247,25.487332825477043,2365.5681484474185
70200060704,7020006070402,2002,1737479.4432889903,875964.0,24409.729098847565,12306.3579387549,71.17979213341701,1619.4307231637365
70101060806,7010106080603,2003,148857.59666989924,96034.94,5840.454067484917,3767.947813825534,25.487332825477043,2365.5681484474185
