waterid,HUC_12,Year,feature_Precipitation_mm,feature_Tile_Drainage_pct,feature_Clay_Soil_pct,feature_Air_Temperature_degC,feature_CRP_pct,feature_No_Till_pct,feature_Cover_Crop_pct,feature_Forest_pct,feature_Wetlands_pct,SHAP_Precipitation_mm,SHAP_Tile_Drainage_pct,SHAP_Clay_Soil_pct,SHAP_Air_Temperature_degC,SHAP_CRP_pct,SHAP_No_Till_pct,SHAP_Cover_Crop_pct,SHAP_Forest_pct,SHAP_Wetlands_pct
7120001010501,71200010105,2001,147.59749,-12.152221,-6.3716087,1.5837263,-1.9399283,-1.7893966,0.0,10.80586,5.741728,0.024066448211669922,-0.07604395598173141,0.06314253062009811,-0.03189506754279137,0.016533439978957176,-0.009390385821461678,0.0023064122069627047,-0.023990102112293243,-0.06122997775673866
7130003020118,71300030201,2018,71.28661,31.795961,6.5249357,1.5516766,-1.422176,1.1175815,0.34947944,2.007475,0.041991714,0.008310314267873764,0.06613720208406448,-0.02385573834180832,-0.0374746099114418,0.009839298203587532,-0.005874687805771828,0.002526250435039401,0.041957009583711624,0.06618478894233704
7020010040207,70200100402,2007,-140.21193,46.843555,3.8047261,-0.81913936,0.13932933,-13.063906,0.0,0.79160047,1.715959,-0.05367462709546089,0.11606483161449432,-0.005152082536369562,0.035308729857206345,0.0051905433647334576,-0.027409197762608528,0.0034368527121841908,0.05057534575462341,0.02636806294322014
7120006070214,71200060702,2014,-34.574104,-21.682262,-8.724115,-2.5596426,-2.4254992,-26.789396,0.6059007,14.981384,19.777771,-0.012944674119353294,-0.08083191514015198,0.0674133375287056,0.058317530900239944,0.022042028605937958,-0.028804585337638855,0.0010447679087519646,-0.04343924671411514,-0.2201986163854599
7100008150709,71000081507,2009,131.29214,-6.9653277,9.632937,0.57913405,3.0106602,66.06774,0.0,12.8991995,16.158072,0.018067097291350365,-0.06139307841658592,-0.035294633358716965,-0.00523195369169116,-0.015251177363097668,0.06716260313987732,0.002553425496444106,-0.03944704681634903,-0.22960792481899261
7010203040610,70102030406,2010,12.202485,-22.964931,-17.65799,-1.8077067,-2.0876782,-26.789396,0.0,29.999453,31.270033,-0.004123613238334656,-0.07823164016008377,0.10436513274908066,0.0386260524392128,0.02130277082324028,-0.021872801706194878,0.0022376624401658773,-0.12118497490882874,-0.2852451205253601
7080107090313,70801070903,2013,-4.8658876,37.402374,11.377041,1.2541829,7.5028505,-9.0474615,5.389006,1.50865,1.1892511,-0.01365580689162016,0.07843784242868423,-0.05516951531171799,-0.02658662386238575,-0.026975810527801514,-0.01877688616514206,-0.009449749253690243,0.04420239105820656,0.03300711512565613
7050007060316,70500070603,2016,-53.45804,-22.606743,-13.465441,-1.4334382,-2.4278314,23.210604,1.5471392,21.84176,10.688853,-0.016935674473643303,-0.08435630798339844,0.09526052325963974,0.037954624742269516,0.018372811377048492,0.018667325377464294,-0.0004508664133027196,-0.08529412001371384,-0.12073104083538055
7070004010103,70700040101,2003,-250.94771,-22.966536,-6.827228,-1.569569,-1.027185,-26.789396,0.5212345,40.109283,1.8500962,-0.046886373311281204,-0.08216869086027145,0.053504325449466705,0.038471098989248276,0.010882178321480751,-0.02562706544995308,0.0012351938057690859,-0.18892331421375275,0.005417345557361841
7080105010220,70801050102,2020,-231.6162,38.313244,5.4850726,0.4647747,0.7234974,-13.802383,0.6252497,0.55873376,1.9733058,-0.07910101115703583,0.08533748984336853,-0.0164534579962492,-0.0038113431073725224,0.0031040916219353676,-0.0280620027333498,0.0017330583650618792,0.0516144223511219,0.01823117770254612
