site_no,watershed_label,watershed_area_miles2,watershed_area_km2,SPARROW_static_inc_load_2001_2005_kg_yr,dPL_inc_load_2016_2020_kg_yr,SPARROW_static_inc_yield_2001_2005_kg_km2_yr,dPL_inc_yield_2016_2020_kg_km2_yr,WRTDS_inc_load_2001_2005_kg_yr,WRTDS_inc_load_2016_2020_kg_yr,mean_discharge_2001_2005_m3_s,mean_discharge_2016_2020_m3_s,residual_yield_2001_2005_kg_ha_yr,residual_yield_2016_2020_kg_ha_yr
USGS-05447500,S1_14,1003.0,2597.7599699999996,2094213.1972775762,4746969.282143416,8.061611624870702,18.273317538815633,2905340.163752708,5491005.831555205,15.253987179180239,33.337896567405345,3.122409213485309,2.8641466417383805
USGS-05455100,S1_16,201.0,520.58799,800844.0707263006,1782336.5549794142,15.383452674855228,34.23698950449115,668381.2331168125,824211.6165505287,2.917233123692109,5.416864496077419,-2.544485085210822,-18.404668506257426
USGS-05457000,S1_15_1_1,399.0,1033.40601,2608821.140091738,5825764.072549524,25.24488066497444,56.37439705377294,2310027.800662978,4001288.300921974,8.39546900385957,16.15665558857807,-2.8913450912556637,-17.65497543049464
USGS-05458500,S1_15_1,1262.0,3268.56738,7506898.983585786,15705353.083212258,22.966939673692107,48.04965373916281,5335042.875689192,13794097.048820905,32.671573838501686,75.74880363229104,-6.644672896101026,-5.847381473871751
USGS-05458900,S1_15_3,846.0,2191.13154,4794993.186233674,8404174.8319684,21.883639109287223,38.35540988090747,4486758.831427471,8069385.644744982,16.20540607888662,35.21157702058417,-1.4067359680569584,-1.527928292353542
USGS-05462000,S1_15_2,1746.0,4522.122539999999,7391075.8662247835,15079042.53502138,16.344262679411568,33.34505511878805,5254750.333813241,12622775.083668288,27.09203165128887,70.84416213584849,-4.724165507490964,-5.431669375666878
USGS-05465000,S1_15,3534.0,9153.02466,10147917.326265655,25793412.10821829,11.086955081213182,28.180206069955343,13861687.048426416,20636969.071190998,142.56947631778908,311.638578940771,4.057423485801863,-5.633594607869539
USGS-05469000,S1_17,432.0,1118.8756799999999,1679794.4609194405,2734535.26564322,15.013235973807571,24.440027739661122,2514824.6605945844,2689048.235424727,8.393590272464227,12.412018801197934,7.463118687816541,-0.4065423087799418
USGS-05471500,S1_18,1635.0,4234.63365,7047558.354500478,13238300.14796225,16.642663656395587,31.261972680829782,7211650.712847252,8951936.594213165,25.02773985644674,49.65893796507787,0.3875007188562209,-10.122159100466895
USGS-05472500,S1_19,730.0,1890.6926999999998,2707538.832999064,4857932.000438892,14.32035376769088,25.693926889541025,2216849.221877412,2955649.1899974006,10.493536676698316,19.950707767368936,-2.595290134254246,-10.06130086841448
USGS-05473400,S1_20,530.0,1372.6946999999998,849464.0391802825,1371434.825878846,6.188295468615728,9.990821891268657,1332177.1932092477,1757798.2915569071,7.534479347738293,11.221121154351074,3.51653688201,2.8146350800222453
USGS-05474500,S1,69997.87,181293.78332129997,47995572.23188782,123302177.37834969,2.647392059044138,6.801235823945822,151390114.29398444,239220501.11189786,2094.1507507898496,3561.595338830032,5.703148788000881,6.393949180712424
USGS-05476000,S5,1250.0,3237.4874999999997,1703523.262928842,7859514.598255168,5.261868232476086,24.276586699578512,1983497.8187111658,5445336.189480857,12.585654526707064,39.019770658895546,0.8647896116427437,-7.456950517258555
USGS-05481950,S12,358.0,927.21642,1309796.121645174,2472118.3452831083,14.126110079512765,26.6617187957382,1576178.5605544883,2644883.640739609,4.365143249716057,10.027782533634147,2.8729262463806924,1.863268291306799
USGS-05482300,S3_1,700.0,1812.993,4025416.7841361277,7260629.78566868,22.203156791758865,40.0477541042281,4933276.928793272,7208991.433223692,10.341618153290757,21.937600550521204,5.007521510878114,-0.28482378279998144
USGS-05484000,S3_2,994.0,2574.4500599999997,3261912.025087566,5892263.67359099,12.670325502789385,22.88746542471673,2487509.6290643425,5857586.554861779,12.031236417721326,25.46786368824014,-3.0080303675543965,-0.13469718938424646
USGS-05484500,S3,1747.0,4524.71253,7480718.143165185,12008682.676756352,16.533024128198452,26.540211333064185,6929289.997881278,11991182.156298142,45.38865109678221,94.37879051324919,-1.2187031587704131,-0.038677640495782525
USGS-05486000,S10,349.0,903.9065099999999,661338.273410994,1050374.7182944808,7.316445518364438,11.62039112091892,651942.4995825917,984892.813945736,3.347011966692166,7.869369476676518,-0.10394630113242882,-0.7244322684294505
USGS-05486490,S6,489.4,1267.541106,802866.7266086218,1265632.345160612,6.334048835246388,9.984941231251966,546020.707099654,977929.8661477551,4.731037724255768,11.378164420808982,-2.0263328604742528,-2.269768433157677
USGS-05489000,S11,374.0,968.65626,243093.11070375922,320026.1308670016,2.509591077269858,3.303815234384607,148426.74365685304,317919.4436548025,4.664479693991849,7.928988013328231,-0.977295775148412,-0.02174855311624259
USGS-05495500,S15,349.0,903.9065099999999,649441.0542030954,960017.8127982887,7.18482549929965,10.620764450499298,675677.7198680716,937972.8592868159,7.57374789853377,7.988213093416806,0.2902586204957881,-0.2438853273827267
USGS-05517500,S2_1_5_1_1_1,1352.0,3501.66648,1638805.7316032401,2521626.7826286783,4.680073733359209,7.201219182441037,2909974.03263764,3568402.6355404956,34.63145661685575,46.938377179259525,3.630180967532921,2.9893648035600964
USGS-05518000,S2_1_5_1_1,427.0,1105.92573,1819807.89724191,1712296.6994307511,16.45506427671151,15.482926682886303,401220.7395917149,585911.4601347367,45.91166847202335,64.09589071457923,-12.82714669863224,-10.184998944694184
USGS-05520500,S2_1_5_1,515.0,1333.84485,558622.3346168599,1121615.6877880506,4.188060812446515,8.408891692223804,1107969.5601044642,1111596.964911386,61.427324088478485,81.72085660226784,4.118524170840442,-0.07511160594625918
USGS-05525000,S2_1_5_2_2,686.0,1776.7331399999998,2576409.130066576,3098942.116178472,14.500822166611785,17.441798356834116,5118839.287936355,5215925.7521246765,18.66767794710574,23.022994894158188,14.309578071301013,11.915034330626627
USGS-05525500,S2_1_5_2_1,446.0,1155.13554,4360071.433074673,4478221.677669992,37.74510680430344,38.76793261568241,3673830.2833813606,2766140.083710932,13.874019447449706,14.305615212938932,-5.940784660588939,-14.821477953652604
USGS-05526000,S2_1_5_2,959.0,2483.80041,4590565.248469301,4415954.0918736085,18.48202146189879,17.77902151112701,5998613.15616755,4856112.808701637,58.52602809520856,67.13982227242829,5.668925337274784,1.7721179006811933
USGS-05527500,S2_1_5,765.0,1981.34235,5864967.13448894,4284386.44168235,29.600978016186556,21.6236555064921,11747493.515316494,5718424.979095615,137.06178728458596,183.25600597094933,29.689600996150684,7.237712036051042
USGS-05527800,S2_1_3_1,123.0,318.56877,121602.04294659854,301810.1423876252,3.817136342228353,9.473940034599915,335014.92056266085,301156.0240140732,2.33742194288727,4.852361094189829,6.699114844686826,-0.02053303509794724
USGS-05531500,S2_1_3_3,115.0,297.84884999999997,328714.33398055396,417744.083871931,11.036280112565619,14.02537172367565,1011271.6620292331,932674.4967291392,4.857730349642698,7.594815440323101,22.916231774897874,17.288312943199486
USGS-05532000,S2_1_3_2,17.9,46.360820999999994,33728.05234868042,51340.14888575008,7.275119728505332,11.074037900612261,91037.43621651843,51593.29790122765,0.534981087793613,0.844788274143921,12.361598140774515,0.05460408379686966
USGS-05532500,S2_1_3,374.1,968.915259,1054520.735715121,997452.9229725337,10.88351871765827,10.294532093570153,1413715.5115176886,1491492.2442794063,18.999905440069465,32.196668565419564,3.7071846321554074,5.098890916598441
USGS-05534500,S2_1_2_1,19.7,51.022802999999996,6701.534240891861,17850.453824986464,1.313439059961457,3.498524733144603,8094.996528315571,10650.587908524521,0.529489353036173,1.000603732945358,0.2731057890770347,-1.4111074839345739
USGS-05536000,S2_1_2,80.3,207.97619699999998,164130.36754084533,278856.2483941179,7.891786171128293,13.408084791266663,269158.7347807839,303300.4599478158,3.242719966373052,5.300325422635347,5.050018644197949,1.17533698116895
USGS-05536195,S17,90.0,233.0991,99935.74774455388,182979.9931275372,4.287264418633701,7.849879863437362,158798.27150952228,106336.47638601527,1.419456936934753,1.817796886973456,2.5252145445850456,-3.2880228512903704
USGS-05536275,S16,104.0,269.35895999999997,222857.85019855225,272887.4397347298,8.273637906775118,10.130995446920712,430161.8152694882,385948.0623692308,2.864272838169564,4.669315280099409,7.696197114472672,4.197396018847896
USGS-05539000,S2_1_1,107.5,278.423925,182951.3202391196,239457.063520328,6.570962615339886,8.600448525403412,215647.93150058488,247521.86177201834,3.04176822300668,4.973281177999072,1.1743463231999645,0.2896589526812519
